                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9808,                 2.4235,                 1.2512,                0.66326,                0.62032,                0.67026,                0.45218,                 1.0429,                 1.5012,                 1.2523,               0.070029,              0.0033301,              0.0033301
                      1,                 1.0867,                 1.8194,                 1.3338,                0.60855,                0.55162,                0.58565,                0.37635,                 1.1715,                 1.5771,                 1.3725,               0.039963,              0.0065975,              0.0065975
                      2,                 1.2101,                 1.9668,                 1.4397,                0.43283,                0.34276,                0.33027,                0.18702,                 1.4763,                 2.2746,                 1.7035,               0.009831,              0.0097988,              0.0097988
                      3,                 1.2817,                 2.0432,                 1.4962,                  0.509,                 0.4331,                0.43676,                0.25958,                 1.3864,                 1.8895,                 1.5731,               0.009703,               0.009703,               0.009703
                      4,                  1.236,                 1.8897,                 1.4649,                0.58657,                0.52217,                0.54563,                0.34213,                  1.253,                  1.548,                 1.4664,               0.009703,               0.009703,               0.009703
                      5,                 1.2026,                 1.7765,                 1.4432,                 0.6193,                 0.5266,                0.57262,                0.36379,                 1.2306,                 1.5013,                 1.4512,               0.009604,               0.009604,               0.009604
                      6,                 1.1714,                 1.6892,                 1.4214,                0.63673,                0.58196,                0.62168,                0.40079,                 1.1775,                 1.3729,                 1.4133,               0.009505,               0.009505,               0.009505
                      7,                  1.153,                 1.6288,                  1.409,                0.67461,                0.59491,                0.65063,                 0.4279,                 1.1628,                 1.3071,                  1.386,               0.009406,               0.009406,               0.009406
                      8,                 1.1417,                 1.5847,                  1.396,                0.68106,                0.61439,                0.66125,                0.43668,                 1.1556,                 1.2751,                 1.3697,               0.009307,               0.009307,               0.009307
                      9,                 1.1159,                  1.534,                 1.3815,                0.69874,                0.60098,                0.66991,                 0.4438,                 1.1437,                 1.2439,                 1.3697,               0.009208,               0.009208,               0.009208
                     10,                 1.1041,                 1.4889,                  1.367,                0.71547,                0.61218,                0.68789,                0.47009,                 1.1012,                  1.191,                 1.3437,               0.009109,               0.009109,               0.009109
                     11,                 1.0886,                 1.4662,                  1.361,                0.71882,                0.62475,                0.70131,                0.47735,                 1.0985,                 1.1643,                  1.331,                0.00901,                0.00901,                0.00901
                     12,                 1.0783,                 1.4347,                 1.3503,                0.72416,                0.62339,                0.69516,                0.47579,                 1.0976,                 1.1605,                 1.3339,               0.008911,               0.008911,               0.008911
                     13,                  1.066,                 1.3916,                 1.3386,                0.72605,                 0.6553,                0.71958,                 0.5004,                 1.0647,                 1.0986,                 1.3047,               0.008812,               0.008812,               0.008812
                     14,                 1.0613,                 1.3862,                 1.3341,                0.74858,                0.65848,                0.73649,                0.51447,                 1.0508,                 1.0818,                 1.2891,               0.008713,               0.008713,               0.008713
                     15,                 1.0553,                 1.3662,                 1.3329,                 0.7419,                0.66059,                0.73771,                0.51784,                 1.0402,                 1.0624,                 1.2841,               0.008614,               0.008614,               0.008614
                     16,                 1.0452,                 1.3414,                 1.3277,                0.74696,                0.67216,                0.75051,                 0.5274,                 1.0329,                  1.035,                 1.2726,               0.008515,               0.008515,               0.008515
                     17,                  1.034,                  1.322,                 1.3186,                0.77354,                  0.669,                0.75532,                 0.5345,                 1.0308,                 1.0142,                 1.2719,               0.008416,               0.008416,               0.008416
                     18,                 1.0285,                 1.3169,                 1.3126,                0.77543,                0.67075,                0.75843,                0.53987,                 1.0173,                 1.0035,                 1.2603,               0.008317,               0.008317,               0.008317
                     19,                 1.0241,                 1.2926,                   1.31,                0.75609,                 0.6815,                0.75955,                0.54114,                 1.0149,                 0.9927,                 1.2627,               0.008218,               0.008218,               0.008218
                     20,                 1.0215,                  1.285,                  1.305,                0.74858,                0.69378,                0.75852,                0.54655,                 1.0026,                0.97997,                 1.2491,               0.008119,               0.008119,               0.008119
                     21,                 1.0126,                 1.2739,                 1.3034,                0.77988,                 0.6726,                 0.7664,                 0.5503,                0.99749,                0.97531,                 1.2473,                0.00802,                0.00802,                0.00802
                     22,                 1.0087,                 1.2514,                 1.2965,                0.76015,                0.70848,                0.77747,                0.55658,                0.99892,                0.95536,                 1.2424,               0.007921,               0.007921,               0.007921
                     23,                0.99939,                 1.2352,                 1.2879,                0.78856,                0.69966,                0.78606,                0.56471,                0.98694,                0.94314,                 1.2346,               0.007822,               0.007822,               0.007822
                     24,                0.99941,                 1.2344,                  1.289,                0.78334,                0.70698,                0.78821,                0.56781,                0.98588,                0.93357,                 1.2353,               0.007723,               0.007723,               0.007723
                     25,                0.99479,                 1.2276,                  1.286,                0.78519,                0.71175,                0.79121,                0.57454,                0.97884,                0.92058,                 1.2284,               0.007624,               0.007624,               0.007624
                     26,                0.98679,                 1.2062,                 1.2829,                0.78982,                0.71171,                0.79116,                0.57428,                0.97579,                0.91886,                 1.2249,               0.007525,               0.007525,               0.007525
                     27,                0.98419,                 1.2015,                 1.2802,                0.78166,                0.71755,                0.79215,                0.57484,                0.97348,                0.91073,                 1.2232,               0.007426,               0.007426,               0.007426
                     28,                0.97993,                 1.1874,                 1.2751,                0.79091,                0.70919,                0.79325,                0.58143,                0.96659,                0.90342,                  1.218,               0.007327,               0.007327,               0.007327
                     29,                0.97352,                 1.1762,                 1.2727,                0.78297,                0.71928,                0.79631,                 0.5827,                0.96107,                0.90061,                 1.2123,               0.007228,               0.007228,               0.007228
                     30,                0.97356,                 1.1781,                 1.2718,                0.79197,                0.71771,                0.80014,                0.58718,                0.95668,                0.88717,                 1.2078,               0.007129,               0.007129,               0.007129
                     31,                0.96843,                 1.1607,                 1.2674,                0.79329,                 0.7157,                0.79588,                0.58411,                0.95157,                0.88467,                 1.2058,                0.00703,                0.00703,                0.00703
